100000 2
1 2 1
1 3 1
1 4 2
1 5 2
1 6 1
1 7 1
1 8 1
1 9 2
1 10 2
1 11 2
1 12 1
1 13 2
1 14 2
1 15 2
1 16 1
1 17 2
1 18 2
1 19 1
1 20 1
1 21 1
1 22 1
1 23 2
1 24 2
1 25 1
1 26 1
1 27 1
1 28 2
1 29 1
1 30 1
1 31 1
1 32 1
1 33 2
1 34 1
1 35 2
1 36 2
1 37 1
1 38 2
1 39 1
1 40 1
1 41 2
1 42 2
1 43 1
1 44 1
1 45 2
1 46 1
1 47 2
1 48 1
1 49 2
1 50 2
1 51 2
1 52 2
1 53 1
1 54 2
1 55 1
1 56 1
1 57 2
1 58 2
1 59 2
1 60 1
1 61 1
1 62 1
1 63 2
1 64 1
1 65 1
1 66 1
1 67 2
1 68 1
1 69 1
1 70 2
1 71 2
1 72 1
1 73 1
1 74 2
1 75 2
1 76 2
1 77 1
1 78 2
1 79 2
1 80 2
1 81 2
1 82 2
1 83 2
1 84 1
1 85 2
1 86 1
1 87 1
1 88 2
1 89 2
1 90 1
1 91 2
1 92 1
1 93 1
1 94 1
1 95 1
1 96 1
1 97 2
1 98 2
1 99 1
1 100 2
1 101 2
1 102 2
1 103 1
1 104 1
1 105 2
1 106 2
1 107 1
1 108 2
1 109 1
1 110 1
1 111 1
1 112 1
1 113 1
1 114 1
1 115 1
1 116 1
1 117 1
1 118 2
1 119 1
1 120 1
1 121 1
1 122 1
1 123 2
1 124 2
1 125 2
1 126 2
1 127 1
1 128 1
1 129 2
1 130 2
1 131 1
1 132 1
1 133 2
1 134 2
1 135 2
1 136 2
1 137 1
1 138 1
1 139 2
1 140 2
1 141 1
1 142 1
1 143 1
1 144 1
1 145 1
1 146 1
1 147 1
1 148 1
1 149 2
1 150 2
1 151 1
1 152 1
1 153 1
1 154 2
1 155 1
1 156 2
1 157 2
1 158 2
1 159 1
1 160 1
1 161 2
1 162 1
1 163 2
1 164 1
1 165 2
1 166 2
1 167 1
1 168 1
1 169 2
1 170 1
1 171 1
1 172 2
1 173 2
1 174 2
1 175 2
1 176 2
1 177 1
1 178 1
1 179 1
1 180 1
1 181 1
1 182 2
1 183 2
1 184 2
1 185 1
1 186 1
1 187 1
1 188 1
1 189 1
1 190 1
1 191 2
1 192 1
1 193 2
1 194 1
1 195 1
1 196 1
1 197 2
1 198 1
1 199 2
1 200 2
1 201 2
1 202 1
1 203 2
1 204 2
1 205 1
1 206 2
1 207 1
1 208 1
1 209 2
1 210 1
1 211 1
1 212 2
1 213 1
1 214 1
1 215 1
1 216 1
1 217 1
1 218 1
1 219 1
1 220 1
1 221 1
1 222 2
1 223 1
1 224 1
1 225 2
1 226 1
1 227 2
1 228 1
1 229 2
1 230 1
1 231 2
1 232 1
1 233 2
1 234 1
1 235 2
1 236 2
1 237 1
1 238 2
1 239 1
1 240 2
1 241 1
1 242 2
1 243 1
1 244 2
1 245 2
1 246 2
1 247 2
1 248 2
1 249 1
1 250 2
1 251 1
1 252 2
1 253 2
1 254 2
1 255 2
1 256 1
1 257 1
1 258 1
1 259 2
1 260 1
1 261 2
1 262 1
1 263 1
1 264 2
1 265 1
1 266 2
1 267 1
1 268 1
1 269 1
1 270 2
1 271 1
1 272 1
1 273 2
1 274 2
1 275 2
1 276 1
1 277 2
1 278 1
1 279 2
1 280 1
1 281 2
1 282 2
1 283 1
1 284 2
1 285 2
1 286 1
1 287 2
1 288 2
1 289 1
1 290 1
1 291 1
1 292 2
1 293 2
1 294 2
1 295 1
1 296 2
1 297 1
1 298 1
1 299 1
1 300 2
1 301 1
1 302 2
1 303 1
1 304 1
1 305 1
1 306 2
1 307 1
1 308 2
1 309 2
1 310 2
1 311 2
1 312 2
1 313 1
1 314 1
1 315 2
1 316 1
1 317 2
1 318 2
1 319 1
1 320 1
1 321 2
1 322 1
1 323 2
1 324 1
1 325 1
1 326 1
1 327 1
1 328 2
1 329 2
1 330 1
1 331 2
1 332 1
1 333 1
1 334 1
1 335 2
1 336 1
1 337 1
1 338 1
1 339 2
1 340 2
1 341 2
1 342 1
1 343 1
1 344 1
1 345 2
1 346 1
1 347 2
1 348 1
1 349 1
1 350 1
1 351 2
1 352 1
1 353 2
1 354 2
1 355 2
1 356 1
1 357 1
1 358 1
1 359 2
1 360 2
1 361 1
1 362 1
1 363 1
1 364 1
1 365 1
1 366 1
1 367 2
1 368 1
1 369 2
1 370 1
1 371 2
1 372 2
1 373 2
1 374 2
1 375 1
1 376 1
1 377 1
1 378 1
1 379 2
1 380 1
1 381 1
1 382 2
1 383 1
1 384 2
1 385 1
1 386 1
1 387 2
1 388 1
1 389 1
1 390 2
1 391 2
1 392 2
1 393 1
1 394 1
1 395 2
1 396 2
1 397 2
1 398 2
1 399 2
1 400 2
1 401 1
1 402 2
1 403 2
1 404 1
1 405 2
1 406 2
1 407 2
1 408 1
1 409 2
1 410 2
1 411 2
1 412 2
1 413 2
1 414 1
1 415 1
1 416 2
1 417 1
1 418 1
1 419 2
1 420 1
1 421 2
1 422 2
1 423 2
1 424 2
1 425 1
1 426 1
1 427 2
1 428 1
1 429 1
1 430 2
1 431 2
1 432 1
1 433 2
1 434 2
1 435 1
1 436 1
1 437 1
1 438 2
1 439 1
1 440 1
1 441 2
1 442 1
1 443 2
1 444 2
1 445 2
1 446 1
1 447 1
1 448 2
1 449 2
1 450 1
1 451 1
1 452 2
1 453 1
1 454 2
1 455 2
1 456 2
1 457 1
1 458 1
1 459 2
1 460 2
1 461 2
1 462 1
1 463 1
1 464 2
1 465 1
1 466 1
1 467 1
1 468 1
1 469 1
1 470 2
1 471 2
1 472 1
1 473 1
1 474 1
1 475 2
1 476 1
1 477 1
1 478 1
1 479 2
1 480 1
1 481 2
1 482 2
1 483 1
1 484 1
1 485 2
1 486 2
1 487 2
1 488 2
1 489 2
1 490 2
1 491 2
1 492 1
1 493 2
1 494 2
1 495 2
1 496 1
1 497 2
1 498 1
1 499 1
1 500 1
1 501 1
1 502 1
1 503 1
1 504 1
1 505 2
1 506 2
1 507 2
1 508 1
1 509 1
1 510 1
1 511 1
1 512 2
1 513 1
1 514 1
1 515 1
1 516 2
1 517 2
1 518 2
1 519 1
1 520 1
1 521 1
1 522 1
1 523 1
1 524 2
1 525 1
1 526 2
1 527 2
1 528 1
1 529 1
1 530 2
1 531 1
1 532 2
1 533 1
1 534 2
1 535 1
1 536 1
1 537 1
1 538 1
1 539 1
1 540 1
1 541 1
1 542 1
1 543 2
1 544 1
1 545 2
1 546 2
1 547 2
1 548 1
1 549 1
1 550 2
1 551 1
1 552 2
1 553 1
1 554 1
1 555 1
1 556 2
1 557 2
1 558 1
1 559 1
1 560 2
1 561 2
1 562 1
1 563 2
1 564 2
1 565 1
1 566 1
1 567 2
1 568 2
1 569 2
1 570 1
1 571 2
1 572 2
1 573 1
1 574 1
1 575 2
1 576 1
1 577 1
1 578 2
1 579 2
1 580 1
1 581 1
1 582 2
1 583 2
1 584 2
1 585 1
1 586 1
1 587 1
1 588 2
1 589 1
1 590 2
1 591 2
1 592 2
1 593 1
1 594 2
1 595 2
1 596 2
1 597 2
1 598 2
1 599 2
1 600 1
1 601 1
1 602 1
1 603 1
1 604 2
1 605 1
1 606 1
1 607 2
1 608 2
1 609 2
1 610 1
1 611 1
1 612 1
1 613 2
1 614 2
1 615 1
1 616 2
1 617 1
1 618 1
1 619 2
1 620 1
1 621 1
1 622 1
1 623 1
1 624 1
1 625 1
1 626 1
1 627 2
1 628 2
1 629 2
1 630 2
1 631 2
1 632 1
1 633 1
1 634 1
1 635 1
1 636 2
1 637 1
1 638 1
1 639 1
1 640 2
1 641 1
1 642 1
1 643 1
1 644 1
1 645 1
1 646 1
1 647 1
1 648 1
1 649 1
1 650 2
1 651 2
1 652 1
1 653 1
1 654 1
1 655 1
1 656 2
1 657 1
1 658 2
1 659 1
1 660 1
1 661 1
1 662 1
1 663 1
1 664 1
1 665 1
1 666 1
1 667 1
1 668 2
1 669 2
1 670 2
1 671 1
1 672 2
1 673 2
1 674 2
1 675 2
1 676 2
1 677 2
1 678 1
1 679 1
1 680 2
1 681 2
1 682 1
1 683 1
1 684 1
1 685 1
1 686 2
1 687 2
1 688 1
1 689 1
1 690 1
1 691 2
1 692 2
1 693 2
1 694 1
1 695 2
1 696 1
1 697 2
1 698 2
1 699 1
1 700 2
1 701 1
1 702 2
1 703 1
1 704 1
1 705 2
1 706 2
1 707 2
1 708 1
1 709 2
1 710 1
1 711 2
1 712 2
1 713 1
1 714 1
1 715 2
1 716 2
1 717 1
1 718 1
1 719 1
1 720 1
1 721 2
1 722 1
1 723 2
1 724 1
1 725 1
1 726 1
1 727 2
1 728 1
1 729 1
1 730 1
1 731 1
1 732 2
1 733 1
1 734 1
1 735 2
1 736 2
1 737 1
1 738 1
1 739 2
1 740 2
1 741 2
1 742 1
1 743 1
1 744 2
1 745 2
1 746 1
1 747 2
1 748 1
1 749 2
1 750 1
1 751 2
1 752 1
1 753 2
1 754 2
1 755 1
1 756 1
1 757 1
1 758 1
1 759 2
1 760 2
1 761 1
1 762 2
1 763 2
1 764 1
1 765 2
1 766 2
1 767 2
1 768 1
1 769 2
1 770 1
1 771 1
1 772 2
1 773 2
1 774 2
1 775 2
1 776 1
1 777 1
1 778 2
1 779 1
1 780 2
1 781 2
1 782 1
1 783 1
1 784 1
1 785 1
1 786 1
1 787 1
1 788 1
1 789 2
1 790 1
1 791 2
1 792 1
1 793 2
1 794 2
1 795 1
1 796 1
1 797 2
1 798 2
1 799 1
1 800 1
1 801 2
1 802 2
1 803 1
1 804 2
1 805 1
1 806 1
1 807 1
1 808 2
1 809 1
1 810 2
1 811 1
1 812 1
1 813 1
1 814 1
1 815 1
1 816 1
1 817 2
1 818 2
1 819 1
1 820 2
1 821 1
1 822 2
1 823 1
1 824 1
1 825 1
1 826 2
1 827 2
1 828 2
1 829 2
1 830 2
1 831 1
1 832 2
1 833 1
1 834 2
1 835 1
1 836 1
1 837 2
1 838 2
1 839 1
1 840 1
1 841 1
1 842 2
1 843 2
1 844 2
1 845 2
1 846 1
1 847 1
1 848 1
1 849 2
1 850 1
1 851 1
1 852 1
1 853 2
1 854 2
1 855 2
1 856 1
1 857 2
1 858 2
1 859 1
1 860 2
1 861 2
1 862 2
1 863 1
1 864 2
1 865 1
1 866 1
1 867 1
1 868 2
1 869 2
1 870 2
1 871 1
1 872 2
1 873 2
1 874 2
1 875 2
1 876 2
1 877 1
1 878 2
1 879 2
1 880 2
1 881 1
1 882 1
1 883 1
1 884 1
1 885 1
1 886 2
1 887 2
1 888 1
1 889 2
1 890 2
1 891 2
1 892 2
1 893 2
1 894 1
1 895 1
1 896 2
1 897 1
1 898 1
1 899 2
1 900 1
1 901 2
1 902 1
1 903 1
1 904 2
1 905 2
1 906 2
1 907 2
1 908 2
1 909 1
1 910 2
1 911 1
1 912 2
1 913 2
1 914 1
1 915 2
1 916 2
1 917 1
1 918 2
1 919 2
1 920 2
1 921 1
1 922 2
1 923 2
1 924 2
1 925 2
1 926 2
1 927 1
1 928 2
1 929 1
1 930 2
1 931 1
1 932 1
1 933 2
1 934 1
1 935 2
1 936 1
1 937 1
1 938 1
1 939 2
1 940 2
1 941 1
1 942 2
1 943 1
1 944 1
1 945 2
1 946 2
1 947 1
1 948 2
1 949 2
1 950 2
1 951 1
1 952 1
1 953 2
1 954 2
1 955 2
1 956 1
1 957 2
1 958 2
1 959 1
1 960 2
1 961 1
1 962 2
1 963 1
1 964 2
1 965 1
1 966 2
1 967 2
1 968 1
1 969 2
1 970 1
1 971 1
1 972 1
1 973 1
1 974 2
1 975 2
1 976 2
1 977 1
1 978 1
1 979 1
1 980 1
1 981 1
1 982 2
1 983 1
1 984 1
1 985 1
1 986 2
1 987 2
1 988 2
1 989 2
1 990 2
1 991 1
1 992 1
1 993 1
1 994 2
1 995 1
1 996 2
1 997 2
1 998 1
1 999 1
1 1000 1
1 1001 2
1 1002 2
1 1003 2
1 1004 1
1 1005 2
1 1006 1
1 1007 1
1 1008 2
1 1009 2
1 1010 2
1 1011 1
1 1012 2
1 1013 2
1 1014 1
1 1015 1
1 1016 2
1 1017 2
1 1018 1
1 1019 2
1 1020 2
1 1021 2
1 1022 1
1 1023 1
1 1024 2
1 1025 2
1 1026 1
1 1027 1
1 1028 2
1 1029 1
1 1030 2
1 1031 1
1 1032 2
1 1033 1
1 1034 2
1 1035 1
1 1036 2
1 1037 1
1 1038 1
1 1039 2
1 1040 1
1 1041 2
1 1042 2
1 1043 2
1 1044 1
1 1045 2
1 1046 1
1 1047 2
1 1048 1
1 1049 1
1 1050 2
1 1051 1
1 1052 1
1 1053 1
1 1054 1
1 1055 2
1 1056 2
1 1057 2
1 1058 1
1 1059 2
1 1060 1
1 1061 2
1 1062 1
1 1063 2
1 1064 2
1 1065 2
1 1066 1
1 1067 1
1 1068 1
1 1069 1
1 1070 2
1 1071 2
1 1072 2
1 1073 1
1 1074 1
1 1075 1
1 1076 2
1 1077 2
1 1078 1
1 1079 1
1 1080 2
1 1081 2
1 1082 1
1 1083 1
1 1084 1
1 1085 2
1 1086 1
1 1087 2
1 1088 1
1 1089 1
1 1090 2
1 1091 2
1 1092 1
1 1093 2
1 1094 1
1 1095 2
1 1096 1
1 1097 2
1 1098 2
1 1099 1
1 1100 1
1 1101 2
1 1102 1
1 1103 2
1 1104 2
1 1105 2
1 1106 1
1 1107 1
1 1108 2
1 1109 2
1 1110 2
1 1111 2
1 1112 1
1 1113 2
1 1114 1
1 1115 2
1 1116 2
1 1117 1
1 1118 1
1 1119 2
1 1120 1
1 1121 1
1 1122 2
1 1123 2
1 1124 1
1 1125 1
1 1126 1
1 1127 1
1 1128 2
1 1129 2
1 1130 1
1 1131 1
1 1132 2
1 1133 2
1 1134 1
1 1135 1
1 1136 2
1 1137 1
1 1138 1
1 1139 1
1 1140 2
1 1141 2
1 1142 1
1 1143 2
1 1144 2
1 1145 1
1 1146 1
1 1147 1
1 1148 1
1 1149 1
1 1150 1
1 1151 1
1 1152 2
1 1153 1
1 1154 1
1 1155 1
1 1156 1
1 1157 1
1 1158 2
1 1159 2
1 1160 1
1 1161 2
1 1162 1
1 1163 1
1 1164 2
1 1165 1
1 1166 2
1 1167 2
1 1168 2
1 1169 1
1 1170 2
1 1171 2
1 1172 1
1 1173 2
1 1174 1
1 1175 1
1 1176 2
1 1177 1
1 1178 2
1 1179 1
1 1180 2
1 1181 2
1 1182 1
1 1183 2
1 1184 2
1 1185 1
1 1186 2
1 1187 2
1 1188 2
1 1189 1
1 1190 1
1 1191 2
1 1192 1
1 1193 1
1 1194 1
1 1195 2
1 1196 2
1 1197 2
1 1198 1
1 1199 1
1 1200 1
1 1201 1
1 1202 1
1 1203 1
1 1204 2
1 1205 1
1 1206 1
1 1207 2
1 1208 1
1 1209 2
1 1210 2
1 1211 2
1 1212 1
1 1213 2
1 1214 2
1 1215 1
1 1216 2
1 1217 2
1 1218 1
1 1219 1
1 1220 1
1 1221 2
1 1222 2
1 1223 2
1 1224 2
1 1225 1
1 1226 1
1 1227 1
1 1228 2
1 1229 1
1 1230 2
1 1231 2
1 1232 2
1 1233 2
1 1234 1
1 1235 1
1 1236 1
1 1237 2
1 1238 2
1 1239 2
1 1240 1
1 1241 2
1 1242 2
1 1243 1
1 1244 2
1 1245 1
1 1246 1
1 1247 1
1 1248 2
1 1249 2
1 1250 1
1 1251 1
1 1252 1
1 1253 2
1 1254 2
1 1255 2
1 1256 1
1 1257 1
1 1258 1
1 1259 1
1 1260 1
1 1261 1
1 1262 2
1 1263 1
1 1264 2
1 1265 2
1 1266 1
1 1267 1
1 1268 2
1 1269 2
1 1270 1
1 1271 2
1 1272 1
1 1273 2
1 1274 2
1 1275 1
1 1276 1
1 1277 2
1 1278 1
1 1279 2
1 1280 2
1 1281 2
